candidate_id,outage_s,ballistic_delay_s,ballistic_delay_min,total_ballistic_s,total_ballistic_min,recovery_horizon_s,recovery_horizon_min,recovery_orbits,state_start_dR_km,state_start_dT_km,state_start_dN_km,state_start_dVR_mps,state_start_dVT_mps,state_start_dVN_mps,outage_terminal_error_km,recovery_start_error_km,phase_r_deg,phase_t_deg,phase_n_deg,phase_r_rad,phase_t_rad,phase_n_rad,priority_axis,q_like_r_km_s2,q_like_t_km_s2,q_like_n_km_s2,terminal_position_error_km,terminal_velocity_error_mps,extra_dv_mps,solver_nfev,solver_success,recoverable_flag,tradeoff_score
out30_delay0_rec900,30,0,0.0,30,0.5,900,15.0,0.16082916368834882,-5.847822023101335e-08,-2.6031817924211473e-06,0.0,-5.847269123648254e-06,-0.00017347979454504186,0.0,2.603838540815149e-06,2.603838540815149e-06,90.0,67.5,67.5,1.5707963267948966,1.1780972450961724,1.1780972450961724,T,6.641356360179574e-12,1.9918293663627159e-10,-0.0,0.0005846712517672772,0.0018355548835524307,0.005669672150280532,31,True,True,0.23431884004885026
out30_delay600_rec900,30,600,10.0,630,10.5,900,15.0,0.16082916368834882,-7.084553226503385e-05,-7.357199510479806e-05,0.0,-0.00022112317680307084,-1.4522958605075482e-05,0.0,2.603838540815149e-06,0.00010213680974857391,112.5,67.5,67.5,1.9634954084936207,1.1780972450961724,1.1780972450961724,R,4.2061965883065615e-10,1.9779586784464697e-10,-0.0,0.0005729052913967348,0.0019435987458717005,0.005669672150280532,31,True,True,0.30155124645171516
out30_delay1800_rec900,30,1800,30.0,1830,30.5,900,15.0,0.16082916368834882,-0.0004484219699346418,0.0003930525634799954,0.0,-0.00031003371064878985,0.0008333489675165814,0.0,2.603838540815149e-06,0.0005962990699122886,180.0,45.0,90.0,3.141592653589793,0.7853981633974483,1.5707963267948966,T,1.45169664130024e-09,-1.8964434539813754e-09,-0.0,0.001430540559312949,0.002784167850340969,0.005669672150280532,31,True,True,0.461116689545773
out30_delay0_rec2100,30,0,0.0,30,0.5,2100,35.0,0.37526804860614726,-5.847822023101335e-08,-2.6031817924211473e-06,0.0,-5.847269123648254e-06,-0.00017347979454504186,0.0,2.603838540815149e-06,2.603838540815149e-06,135.0,45.0,22.5,2.356194490192345,0.7853981633974483,0.39269908169872414,T,2.810934603202576e-12,8.379000728558508e-11,-0.0,0.004870529604107871,0.009271215253131555,0.01322923501732124,31,True,True,0.6421186361577844
out30_delay600_rec2100,30,600,10.0,630,10.5,2100,35.0,0.37526804860614726,-7.084553226503385e-05,-7.357199510479806e-05,0.0,-0.00022112317680307084,-1.4522958605075482e-05,0.0,2.603838540815149e-06,0.00010213680974857391,135.0,45.0,22.5,2.356194490192345,0.7853981633974483,0.39269908169872414,R,1.3742624394932347e-10,4.028167874835706e-11,-0.0,0.005549811704618628,0.009542149785949076,0.01322923501732124,31,True,True,0.7290360037245783
out30_delay1800_rec2100,30,1800,30.0,1830,30.5,2100,35.0,0.37526804860614726,-0.0004484219699346418,0.0003930525634799954,0.0,-0.00031003371064878985,0.0008333489675165814,0.0,2.603838540815149e-06,0.0005962990699122886,135.0,67.5,22.5,2.356194490192345,1.1780972450961724,0.39269908169872414,T,3.510010730684223e-10,-5.750879725044925e-10,-0.0,0.006578316410874869,0.013878212796774661,0.01322923501732124,31,True,True,0.8934687758051849
out30_delay0_rec4200,30,0,0.0,30,0.5,4200,70.0,0.7505360972122945,-5.847822023101335e-08,-2.6031817924211473e-06,0.0,-5.847269123648254e-06,-0.00017347979454504186,0.0,2.603838540815149e-06,2.603838540815149e-06,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,T,1.3988371179016264e-12,4.159985831485363e-11,-0.0,0.03508386667105517,0.05705582617033662,0.02645847003464248,31,True,False,2.002765529569319
out30_delay600_rec4200,30,600,10.0,630,10.5,4200,70.0,0.7505360972122945,-7.084553226503385e-05,-7.357199510479806e-05,0.0,-0.00022112317680307084,-1.4522958605075482e-05,0.0,2.603838540815149e-06,0.00010213680974857391,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,R,6.068074870198216e-11,1.1799343330550631e-11,-0.0,0.03513765239834046,0.05744038965354877,0.02645847003464248,31,True,False,2.0718652191595353
out30_delay1800_rec4200,30,1800,30.0,1830,30.5,4200,70.0,0.7505360972122945,-0.0004484219699346418,0.0003930525634799954,0.0,-0.00031003371064878985,0.0008333489675165814,0.0,2.603838540815149e-06,0.0005962990699122886,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,T,1.2465904334434248e-10,-2.4298020354476375e-10,-0.0,0.03527759500986105,0.057481333031721815,0.02645847003464248,31,True,False,2.2109867121602123
out300_delay0_rec900,300,0,0.0,300,5.0,900,15.0,0.16082916368834882,-5.847822023101334e-05,-0.00025056792421147237,0.0,-0.0005792532077793169,-0.0016047945450418544,0.0,0.0002573013542230842,0.0002573013542230842,180.0,90.0,67.5,3.141592653589793,1.5707963267948966,1.1780972450961724,T,7.880053425474221e-10,2.401791282667424e-09,-0.0,0.0006745954245372009,0.003911688882787745,0.005669672150280532,31,True,True,0.26728579500323624
out300_delay600_rec900,300,600,10.0,900,15.0,900,15.0,0.16082916368834882,-0.0010430361820133176,-0.0006853961230550008,0.0,-0.0025777084147861336,0.0006060930320193891,0.0,0.0002573013542230842,0.0012480754474340661,180.0,180.0,67.5,3.141592653589793,3.141592653589793,1.1780972450961724,R,5.439518441153278e-09,1.0188994040648781e-09,-0.0,0.0040959442239959405,0.007895581242659018,0.005669672150280532,31,True,True,0.43231274645173046
out300_delay600_rec2100,300,600,10.0,900,15.0,2100,35.0,0.37526804860614726,-0.0010430361820133176,-0.0006853961230550008,0.0,-0.0025777084147861336,0.0006060930320193891,0.0,0.0002573013542230842,0.0012480754474340661,180.0,-135.0,45.0,3.141592653589793,-2.356194490192345,0.7853981633974483,R,1.700512479609414e-09,2.222151448283092e-11,-0.0,0.0012641418491934006,0.007353257443962867,0.01322923501732124,31,True,True,0.6373612681946661
out300_delay0_rec2100,300,0,0.0,300,5.0,2100,35.0,0.37526804860614726,-5.847822023101334e-05,-0.00025056792421147237,0.0,-0.0005792532077793169,-0.0016047945450418544,0.0,0.0002573013542230842,0.0002573013542230842,-90.0,-180.0,0.0,-1.5707963267948966,-3.141592653589793,0.0,T,3.023555956459393e-10,8.778241253992831e-10,-0.0,0.007396198201662887,0.013443156279023316,0.01322923501732124,31,True,True,0.7444693823726557
out300_delay1800_rec900,300,1800,30.0,2100,35.0,900,15.0,0.16082916368834882,-0.004876668649793519,0.005141383004992207,0.0,-0.0028153007670077322,0.009214758775466961,0.0,0.0002573013542230842,0.0070863048427161,180.0,-90.0,67.5,3.141592653589793,-1.5707963267948966,1.1780972450961724,T,1.516926912332592e-08,-2.293339371346257e-08,-0.0,0.014816136757877376,0.009131057124326727,0.005669672150280532,31,True,True,0.8728196576543277
out300_delay1800_rec2100,300,1800,30.0,2100,35.0,2100,35.0,0.37526804860614726,-0.004876668649793519,0.005141383004992207,0.0,-0.0028153007670077322,0.009214758775466961,0.0,0.0002573013542230842,0.0070863048427161,180.0,-135.0,45.0,3.141592653589793,-2.356194490192345,0.7853981633974483,T,3.552260523878294e-09,-6.719673342055563e-09,-0.0,0.013124649356242295,0.01105873426475561,0.01322923501732124,31,True,True,1.1103508057616602
out300_delay0_rec4200,300,0,0.0,300,5.0,4200,70.0,0.7505360972122945,-5.847822023101334e-05,-0.00025056792421147237,0.0,-0.0005792532077793169,-0.0016047945450418544,0.0,0.0002573013542230842,0.0002573013542230842,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,T,1.4454761412330827e-10,4.105030009976606e-10,-0.0,0.026440137579770515,0.054784866700257735,0.02645847003464248,31,True,False,1.7869485937146008
out300_delay600_rec4200,300,600,10.0,900,15.0,4200,70.0,0.7505360972122945,-0.0010430361820133176,-0.0006853961230550008,0.0,-0.0025777084147861336,0.0006060930320193891,0.0,0.0002573013542230842,0.0012480754474340661,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,R,7.319981692816551e-10,-6.659855376255288e-11,-0.0,0.028412259891320808,0.058117109430192375,0.02645847003464248,31,True,False,1.910693369946753
out300_delay1800_rec4200,300,1800,30.0,2100,35.0,4200,70.0,0.7505360972122945,-0.004876668649793519,0.005141383004992207,0.0,-0.0028153007670077322,0.009214758775466961,0.0,0.0002573013542230842,0.0070863048427161,180.0,45.0,-90.0,3.141592653589793,0.7853981633974483,-1.5707963267948966,T,1.2232199841847797e-09,-2.7769134278313862e-09,-0.0,0.028334625564317446,0.05726492642277188,0.02645847003464248,31,True,False,2.043617039919682
out600_delay0_rec900,600,0,0.0,600,10.0,900,15.0,0.16082916368834882,-0.0004579363022895691,-0.0008859438613021001,0.0,-0.0022517074411723707,-0.002443897104638914,0.0,0.000997297439249454,0.000997297439249454,180.0,180.0,67.5,3.141592653589793,3.141592653589793,1.1780972450961724,T,3.6326040760916936e-09,4.902956934295336e-09,-0.0,0.003103669681832623,0.007559349328565436,0.005669672150280532,31,True,True,0.3702633659140394
out600_delay600_rec900,600,600,10.0,1200,20.0,900,15.0,0.16082916368834882,-0.002959927127316947,-0.0009048407935563798,0.0,-0.005771009221107312,0.0031744825618670366,0.0,0.000997297439249454,0.0030951422359417496,180.0,0.0,67.5,3.141592653589793,0.0,1.1780972450961724,R,1.3720694510654906e-08,-1.2930280476142879e-09,-0.0,0.011155196351542142,0.015919738738100483,0.005669672150280532,31,True,True,0.6671839970028939
